_id,service_name,program_or_facility,neighborhood,address,latitude,longitude,organization,category,recommended_for,requirements,phone,narrative,schedule,holiday_exception
14,Winter Weather Overnight Shelter,Winter Weather Overnight Shelter,Downtown,"620 Smithfield St, PA, 15222",40.442038,-79.997313,Pittsburgh Mercy Health System,roof-overnight,all,none,1-877-637-2924,"The OVERNIGHT WINTER WEATHER SHELTER will be open every night from November 15 through March 15, 2020.   Shelter Operates from 7pm to 7am (doors lock at 11pm).   The Shelter is at Smithfield United Church of Christ (620 Smithfield St, Downtown).  Enter through the double doors on Smithfield St. (near the corner of Strawberry Way).  Meals and connections to services offered nightly.  Daytime Warming station now at Church of the Epiphany, 184 Washington Pl, Uptown.  (7:30am - 5:30pm every day).  See listing under Daytime Drop-in.",Check-in every night:; 7pm - 11pm; Shelter empties every morning:; 7am,
15,The Shepherd's Place Drop-in Center,Shepherd's Heart Fellowship,Uptown,"13 Pride St, PA, 15219",40.438013,-79.984998,Shepherd's Heart Fellowship,roof-daytime,all,none,412-281-1305,"The Drop-In Center is a safe place for the poor and the homeless to come in the morning to eat breakfast, take a shower, and do their laundry. A short morning prayer service starts at 8:00am. Clothing is available based on donations, as well as basic toiletries.",Mon - Fri: 8am - 10am,
16,The Shepherd's Place Drop-In Center,Shepherd's Heart Fellowship,Uptown,"13 Pride St, PA, 15219",40.438013,-79.984998,Shepherd's Heart Fellowship,roof-daytime,all,none,412-281-1305,"The Drop-In Center is a safe place for the poor and the homeless to come in the morning to eat breakfast, take a shower, and do their laundry. A short morning prayer service starts at 8:00am. Clothing is available based on donations, as well as basic toiletries.",Mon - Fri: 8am - 10am; Sun: 8am - 12pm,
17,Weekday Breakfast | Sun Dinner- The Shepherd's Place,Shepherd's Heart Fellowship,Uptown,"13 Pride St, PA, 15219",40.438013,-79.984998,Shepherd's Heart Fellowship,meals,all,none,412-281-1305,"Drop-in Center provides breakfast, showers, and laundry.  A short prayer service precedes the meal.; ; Sunday dinner served by A Shepherd's Heart",Mon - Fri:  8am - 10am; Sun: 6:15pm,
18,The Shepherd's Place - Laundry,Shepherd's Heart Fellowship,Uptown,"13 Pride St, PA, 15219",40.438013,-79.984998,Shepherd's Heart Fellowship,miscl-showers,all,none,412-281-1305,"The Drop-In Center is a safe place for the poor and the homeless to come in the morning to eat breakfast, take a shower, and do their laundry. A short morning prayer service starts at 8:00am. Clothing is available based on donations, as well as basic toiletries.; ; Laundry is first come, first-served.",Mon - Wed - Fri; 8:00 - 10:00am,
19,The Shepherd's Place - Showers,Shepherd's Heart Fellowship,Uptown,"13 Pride St, PA, 15219",40.438013,-79.984998,Shepherd's Heart Fellowship,miscl-showers,all,none,412-281-1305,"The Drop-In Center is a safe place for the poor and the homeless to come in the morning to eat breakfast, take a shower, and do their laundry. A short morning prayer service starts at 8:00am. Clothing is available based on donations, as well as basic toiletries.",Mon - Fri; 8am - 10am,
20,Stop 1 - Shepherd's Heart Free Shuttle,Stop 1 - Shepherd's Heart Free Shuttle,Uptown,"13 Pride St, PA, 15219",40.438013,-79.984998,Shepherd's Heart Fellowship,expert-lookup|activities,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.  Downtown Stop Varies by Week.",Mon - Fri:  8:30am & 11am; (be at the stop 10 minutes early),
21,Ending Stop - Shepherd's Heart Free Shuttle,Stop 1 - Shepherd's Heart Free Shuttle,Uptown,"13 Pride St, PA, 15219",40.438013,-79.984998,Shepherd's Heart Fellowship,activities|expert-lookup,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Arrival times (end of the run):; Mon - Fri:  10:13am & 12:48pm,
22,Stop 3 - Shepherd's Heart Free Shuttle,Stop 3 - Shepherd's Heart Free Shuttle,North Side,"10 E North Ave, PA, 15212",40.455659,-80.006062,Shepherd's Heart Fellowship,expert-lookup|activities,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.","Mon - Fri:  8:55am & 11:05am; (be at the stop 10 minutes early); Downtown Stop Varies by Week,",
23,Stop 4 - Shepherd's Heart Free Shuttle,Stop 4 - Shepherd's Heart Free Shuttle,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,Shepherd's Heart Fellowship,expert-lookup|activities,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:02am & 11:30am; (be at the stop 10 minutes early); Downtown Stop Varies by Week.,
24,Stop 5 - Shepherd's Heart Free Shuttle,Stop 5 - Shepherd's Heart Free Shuttle,South Side,"1625 W Carson St, PA, 15219",40.441972,-80.022842,Shepherd's Heart Fellowship,expert-lookup|activities,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:12am & 11:40am; Downtown Stop Varies by Week,
25,Stop 6 - Shepherd's Heart Free Shuttle,Stop 6 - Shepherd's Heart Free Shuttle,South Side,"330 S 9th St, PA, 15203",40.430784,-79.990092,Shepherd's Heart Fellowship,expert-lookup|activities,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:17am & 11:52am; (be at the stop 10 minutes early); Downtown Stop Varies by Week.,
26,Stop 8 - Shepherd's Heart Free Shuttle,Stop 8 - Shepherd's Heart Free Shuttle,Uptown,"2005 Wyandotte St, PA, 15219",40.438465,-79.977273,Shepherd's Heart Fellowship,expert-lookup|activities,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:28am & 12:05pm; (be at the stop 10 minutes early),
27,Stop 9 - Shepherd's Heart Free Shuttle,Stop 9 - Shepherd's Heart Free Shuttle,Oakland,"Allequippa St, PA, 15240",40.44685,-79.960439,Shepherd's Heart Fellowship,expert-lookup|activities,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.  VA shuttle can take Vets to the VA facility in Aspinwall.",Mon - Fri:  9:32am & 12:18pm; (be at the stop 10 minutes early),
28,Stop 2 - Shepherd's Heart Free Shuttle,Stop 2 - Shepherd's Heart Free Shuttle,Downtown,"328 Sixth Avenue, PA, 15222",40.441457,-79.99854700000003,Shepherd's Heart Fellowship,activities|expert-lookup,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.  Downtown Stop Varies by Week.",Mon - Fri:  8:35am & 11:05am; (be at the stop 10 minutes early),
29,Stop 7 - Shepherd's Heart Free Shuttle,Stop 7 - Shepherd's Heart Free Shelter,South Side,"2417 E Carson St, PA, 15203",40.428082,-79.970277,Shepherd's Heart Fellowship,activities|expert-lookup,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:24am & 12:02pm; (be at the stop 10 minutes early); Downtown Stop Varies by Week:,
30,Stop 10 - Shepherd's Heart Free Shuttle,Stop 10 - Shepherd's Heart Free Shuttle,Downtown,"1000 Liberty Ave, PA, 15222",40.443664,-79.994612,Shepherd's Heart Fellowship,activities|expert-lookup,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:47am & 12:32pm; (be at the stop 10 minutes early),
31,Stop 11 - Shepherd's Heart Free Shuttle,Stop 11 - Shepherd's Heart Free Shuttle,Downtown,"300 Liberty Ave, PA, 15222",40.440861,-80.006232,Shepherd's Heart Fellowship,activities|expert-lookup,all,none - it's free,412-281-1305,"The free shuttle has two runs a day:  from Shepherd's Heart Uptown to Downtown (the Church of the Week), North Side, South Side, Hill District, the VA in Oakland, back to Downtown, and then ending at Shepherd's Heart.",Mon - Fri:  9:55am & 12:41pm; (be at the stop 10 minutes early),
32,Library - North Side,Carnegie Library - Allegheny/North Side,North Side,"1230 Federal St, PA, 15212",40.456352,-80.00677,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-237-1890,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm; Sun: noon-5pm,
33,Library - Downtown,Carnegie Library - Downtown,Downtown,"612 Smithfield St, PA, 15222",40.441726,-79.99744,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-281-7141,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Thurs: 8:30am - 6pm; Fri: 8:30am - 5pm; Sat: 10am - 5pm,
34,Library - East Liberty,Carnegie Library - East Liberty,East Liberty,"130 S Whitfield St, PA, 15206",40.460855,-79.926392,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-363-8232,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm,
35,Library - Hazelwood,Carnegie Library - Hazelwood,Hazelwood,"5006 Second Ave, PA, 15207",40.408297,-79.943733,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-421-2517,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon: 10am - 5pm; Tues - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm,
36,Library - Hill District,Carnegie Library - Hill District,Hill District,"2177 Centre Ave, PA, 15219",40.445341,-79.976772,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-281-3753,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Wed: 10am - 8pm; Thurs - Sat: 10am - 5pm,
37,Library - Homewood,Carnegie Library - Homewood,Homewood,"7101 Hamilton Ave, PA, 15208",40.455162,-79.899227,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-731-3080,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon: 10am - 5pm; Tues - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm,
38,Library - Lawrenceville,Carnegie Library - Lawrenceville,Lawrenceville,"279 Fisk St, PA, 15201",40.467536,-79.959192,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-682-3668,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Wed: 10am - 8pm; Thurs - Sat: 10am - 5pm,
39,Library - Oakland,Carnegie Library - Oakland (Main),Oakland,"4400 Forbes Ave, PA, 15213",40.442692,-79.95091,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-622-3114,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Thurs: 10am - 8pm; Fri - Sat: 10am - 5:30pm; Sun: noon - 5pm,
40,Library - Mt Washington,Carnegie Library - Mt Washington,Mt Washington,"315 Grandview Ave, PA, 15211",40.433577,-80.010414,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-381-3380,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon: 10am - 5pm; Tues - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm,
41,Library - South Side,Carnegie Library - South Side,South Side,"2205 E Carson St, PA, 15203",40.42855,-79.974255,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-431-0505,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Wed: 10am - 8pm; Thurs - Sat: 10am - 5pm; Sun: noon-5pm,
42,Library - Squirrel Hill,Carnegie Library - Squirrel Hill,Squirrel Hill,"5801 Forbes Ave, PA, 15217",40.438155,-79.922493,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-422-9650,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm; Sun: 12pm - 5pm,
43,Library - West End,Carnegie Library - West End,West End,"47 Wabash St, PA, 15220",40.440065,-80.034177,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-921-1717,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon: 10am - 5pm; Tues - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm,
44,Library - Woods Run,Carnegie Library - Woods Run,Woods Run,"1201 Woods Run Ave, PA, 15212",40.476342,-80.030186,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-761-3730,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon: 10am - 5pm; Tues - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm,
45,Library - Beechview,Carnegie Library - Beechview,Beechview,"1910 Broadway Ave, PA, 15216",40.406961,-80.027635,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-563-2900,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon: 10am - 5pm; Tues - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm,
46,Library - Brookline,Carnegie Library - Brookline,Brookline,"708 Brookline Blvd, PA, 15226",40.39453,-80.021327,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-561-1003,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm,
47,Library - Carrick,Carnegie Library - Carrick,Carrick,"1811 Brownsville Rd, PA, 15210",40.396947,-79.987729,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-882-3897,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon: 10am - 5pm; Tues - Thurs: 10am - 8pm; Fri - Sat: 10am - 5pm,
48,Library - Knoxville,Carnegie Library - Knoxville,Knoxville,"400 Brownsville Rd, PA, 15210",40.413169,-79.989032,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-381-6543,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Wed: 10am - 8pm; Thurs - Sat: 10am - 5pm,
49,Library - Sheraden,Carnegie Library - Sheraden,Sheraden,"720 Sherwood Ave, PA, 15204",40.455085,-80.056554,Carnegie Library of Pittsburgh,roof-daytime,all,none,412-331-1135,"All Carnegie Libraries offer public restrooms and comfy places to sit and to read, along with free Wifi and desktop computer access (no library card or ID required, just ask for a “guest pass”). Plugs available for charging devices. Librarians can help point you to resources.",Mon - Wed: 10am - 8pm; Thurs - Sat: 10am - 5pm,
50,Pleasant Valley Men's Shelter - Daytime Drop-In,Pleasant Valley Men's Shelter,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,North Side Common Ministries,roof-daytime|pantries-supplies,all,none,412-321-4272,"Place to hang out on the North Side on weekdays with a TV room and library. Free lunch served M/W/F. Lockers available to store belongings during drop-in hours. Laundry can be done on a first-come, first-served basis for up to four people. Showers available for men only. Free clothing and toiletries as available (be aware that most of the clothing to be given out is for men).",Mon - Fri: 9am - 2pm,
51,Lunch - Pleasant Valley Shelter (Mon/Wed/Fri),Pleasant Valley Men's Shelter,North Side,"1601 Brighton Rd, PA, 15212",40.458082,-80.016207,North Side Common Ministries,meals,all,none,412-321-4272,Free lunch for all in need,"Mon, Wed, Fri:  noon - 1pm",
52,LGBT Persad Center,Persad Center,Lawrenceville,"5301 Butler St, STE 100, PA, 15201",40.48183,-79.953257,Persad Center,roof-daytime|pantries-supplies,all LGBTGIA in need,none,412-441-9786,"Showers, laundry and computers available on a walk-in basis.  Some toiletries and pantry (shelf-stable food) available.  Special LGBTQ Youth Drop-In Center with counselor available Tuesday and Thursday 3pm - 9pm for youth up to age 21.",Mon - Thurs:  9am - 9pm; Fri: 9am - 6pm,
53,LGBT Persad Center Mental Health Counseling,Persad Center,Lawrenceville,"5301 Butler St, STE 100, PA, 15201",40.48183,-79.953257,Persad Center,activities,LGBTQIA in need of counseling and mental health services,"sliding scale fees, but no one is turned away;  CALL AHEAD FOR AN APPOINTMENT",412-441-9786,Persad Center specializes in providing counseling and mental health services to LGBTQIA.   Programs and events for seniors and youth provided on a regular basis.,Mon - Thurs:  9am - 9pm; Fri: 9am - 6pm,
54,Magee Recreation Center,Magee Recreation Center,Greenfield,"745 Greenfield Avenue, PA, 15217",40.42418,-79.93678,CitiParks Community Recreation Centers,roof-daytime,All,"City of Pittsburgh resident, but won't turn anyone away.",412-422-6546,"City recreation center that is also a warming/cooling center.  Recreation room with ping-pong and tables for socializing, plus a basketball court. Free Wifi.","Mon - Fri: noon - 8pm; Sat: 9am - 3pm; ; Summer hours from June 10-Aug 31; 3pm - 7pm Mon-Fri, 9am-3pm Sat",
55,West Penn Recreation Center,West Penn Recreation Center,Polish Hill,"450 30th Street, PA, 15219",40.455775,-79.969316,CitiParks Community Recreation Centers,roof-daytime,All,Will be asked for an address in the City of Pittsburgh,412-622-7353,"City recreation center that is also a warming center.   Free wifi, game room with tables and some games, year-round outdoor skate park (helmet required), swimming pool for City residents in the summer for $4 fee.  Fitness/boxing programs extra. Men’s and women’s shower.  Free gym membership for 18 and under.  Adults over 18, membership is $5/month.",Mon - Fri: 9am - 9pm; Sat: 9am - 3pm,
56,Warrington Recreation Center,Warrington Recreation Center,Beltzhoover,"329 Warrington Avenue, PA, 15210",40.421043,-80.000815,CitiParks Community Recreation Centers,roof-daytime,all,Will be asked to provide an address in the City of Pittsburgh,412-488-8369,"City recreation center that is also a warming center.  Free lunch and pm snack for children 18 and under. Free Wifi, game room with pool tables, foosball, some games.  Outdoor playground, spray park in Memorial Day through Labor Day, large baseball/soccer field.  Weight Room with weights and machines available for $5/month - all other services are free",Mon - Fri: noon - 8:00pm; Follows City holiday schedule,
57,S. Side Healthy Active Living Center,South Side Community Center,South Side,"12th & Bingham Streets, PA, 15203",40.429186,-79.986428,CitiParks Community Recreation Centers,roof-daytime,All,Will be asked to provide an address in the City of Pittsburgh.,412-488-8404,"City recreation center that is also a warming/cooling center. Game room with pool tables, foosball, other games.  Upstairs large gymnasium with basketball court.  Side room has small library with computers, audio books, and WiFi.  Exercise room with weights free for ages 60+.  Hot lunch served to registered seniors ages 60+.",Mon - Fri: 8am - 4pm,
58,Ammon Recreation Center,Ammon Recreation Center,Hill District,"2217 Bedford Avenue, PA, 15219",40.44853,-79.977743,CitiParks Community Recreation Centers,roof-daytime,all,Will be asked for an address in the City of Pittsburgh,412-255-2501,"Daytime shelter with basketball, board games, Free Wifi. Fitness center costs $5/month.   In summer, pool is open and cost is $4/day or passes available.  Closed during City of Pittsburgh holiday schedule.",Mon - Fri: 12pm - 8pm,
